group,variable,value
GEN_ALU,GEN_ALU,1.0
GEN_ALU,rango_edad_15 a 19 años,0.04029369713744209
GEN_ALU,rango_edad_20 a 24 años,0.013213450792870705
GEN_ALU,rango_edad_25 a 29 años,-0.03358660887666855
GEN_ALU,rango_edad_30 a 34 años,-0.013932906377455295
GEN_ALU,rango_edad_35 a 39 años,-0.011066907640025374
GEN_ALU,rango_edad_40 y más años,-0.004224804794691936
GEN_ALU,tipo_inst_3_Centros de Formación Técnica,0.0065264313567004965
GEN_ALU,tipo_inst_3_Institutos Profesionales,0.026129449103613388
GEN_ALU,tipo_inst_3_Universidades Estatales CRUCH,-0.058299319752724135
GEN_ALU,tipo_inst_3_Universidades Privadas,0.04787694654074055
GEN_ALU,tipo_inst_3_Universidades Privadas CRUCH,-0.03018325017643092
GEN_ALU,jornada_A Distancia,0.006136897609958855
GEN_ALU,jornada_Diurno,0.05927805021044653
GEN_ALU,jornada_Otro,-0.00035983831363918745
GEN_ALU,jornada_Semipresencial,0.025973105962242886
GEN_ALU,jornada_Vespertino,-0.06624477728736422
GEN_ALU,tipo_plan_carr_Plan Especial,-0.039099876977529965
GEN_ALU,tipo_plan_carr_Plan Regular,0.048299040076404655
GEN_ALU,tipo_plan_carr_Plan Regular de Continuidad,-0.029377323739222232
GEN_ALU,dur_estudio_carr,-0.049196951056923
GEN_ALU,"nivel_carrera_1_Bachillerato, Ciclo Inicial o Plan Común",-0.013680356188493269
GEN_ALU,nivel_carrera_1_Licenciatura No Conducente a Título,0.0032120287090643194
GEN_ALU,nivel_carrera_1_Profesional Con Licenciatura,0.007715416070896325
GEN_ALU,nivel_carrera_1_Profesional Sin Licenciatura,-0.05340666801082805
GEN_ALU,nivel_carrera_1_Técnico de Nivel Superior,0.046557769992116485
GEN_ALU,oecd_area_Agricultura,-0.00905671656396353
GEN_ALU,oecd_area_Ciencias,-0.12894840202596478
GEN_ALU,"oecd_area_Ciencias Sociales, Enseñanza Comercial y Derecho",0.041014164297416056
GEN_ALU,oecd_area_Educación,0.19170223427226904
GEN_ALU,oecd_area_Humanidades y Artes,-0.003183971000294589
GEN_ALU,"oecd_area_Ingeniería, Industria y Construcción",-0.2974445968285883
GEN_ALU,oecd_area_Salud y Servicios Sociales,0.21528486246191947
GEN_ALU,oecd_area_Servicios,-0.026751874705462992
GEN_ALU,oecd_area_Sin área definida,-0.006348451213355957
GEN_ALU,acreditada_carr_False,-0.01444702003684892
GEN_ALU,acreditada_carr_True,0.014480609521251206
GEN_ALU,acreditada_inst,-0.07078990622103701
GEN_ALU,anio_en_carr_actual,-0.0032950791468177713
GEN_ALU,Class,-0.05277068954117228
rango_edad_15 a 19 años,GEN_ALU,0.04029369713744209
rango_edad_15 a 19 años,rango_edad_15 a 19 años,1.0
rango_edad_15 a 19 años,rango_edad_20 a 24 años,-0.39324994673796776
rango_edad_15 a 19 años,rango_edad_25 a 29 años,-0.2045620324279437
